latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.184532,129.03061,19.0,32400,Asia/Seoul,GMT+9

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2022-01-01,4.8,-6.2,-1.6,0.00
2022-01-02,9.2,-5.3,0.2,0.00
2022-01-03,7.1,-3.9,0.0,0.00
2022-01-04,6.9,-4.5,0.2,0.00
2022-01-05,7.8,-3.7,2.1,1.00
2022-01-06,8.1,-1.1,3.5,0.00
2022-01-07,8.3,-4.6,0.9,0.00
2022-01-08,8.5,-5.7,0.5,0.00
2022-01-09,9.1,-2.1,2.6,0.00
2022-01-10,10.0,-3.0,3.2,0.00
2022-01-11,4.4,-5.0,0.2,0.00
2022-01-12,1.8,-7.7,-3.6,0.00
2022-01-13,1.2,-4.9,-2.4,0.00
2022-01-14,3.7,-7.6,-2.9,0.00
2022-01-15,7.3,-3.8,0.3,0.00
2022-01-16,8.1,-2.8,1.3,0.00
2022-01-17,4.5,-4.6,-0.8,0.00
2022-01-18,2.7,-6.9,-2.6,0.00
2022-01-19,5.4,-5.9,-0.7,0.00
2022-01-20,5.4,-6.1,-0.7,0.00
2022-01-21,6.7,-5.4,0.1,0.00
2022-01-22,9.5,-2.2,3.6,0.00
2022-01-23,11.2,1.7,6.2,0.00
2022-01-24,8.3,1.6,5.6,0.00
2022-01-25,8.8,-0.7,4.0,0.00
2022-01-26,9.1,-0.4,3.7,0.00
2022-01-27,10.0,-1.4,3.5,0.00
2022-01-28,7.5,-2.1,1.9,0.00
2022-01-29,6.3,-2.0,1.2,0.00
2022-01-30,7.4,-2.9,1.4,0.00
2022-01-31,8.0,-4.4,1.0,0.00
2022-02-01,5.7,-3.0,0.9,0.00
2022-02-02,5.6,-3.8,0.4,0.00
2022-02-03,5.7,-2.4,0.8,0.00
2022-02-04,5.9,-3.5,0.2,0.00
2022-02-05,2.0,-6.8,-2.7,0.00
2022-02-06,4.5,-5.6,-1.4,0.00
2022-02-07,4.5,-4.5,-0.1,0.00
2022-02-08,7.6,-3.3,1.8,0.00
2022-02-09,9.3,-2.4,3.4,0.00
2022-02-10,11.1,1.8,5.5,0.00
2022-02-11,11.0,-3.7,3.5,0.00
2022-02-12,12.0,0.1,5.3,0.00
2022-02-13,11.5,4.5,7.1,0.80
2022-02-14,12.4,3.3,7.1,0.70
2022-02-15,5.4,-2.9,1.4,0.00
2022-02-16,2.3,-6.2,-2.7,0.00
2022-02-17,1.1,-8.7,-4.2,0.00
2022-02-18,5.7,-6.2,-0.0,0.00
2022-02-19,6.9,0.6,2.8,2.40
2022-02-20,2.1,-5.8,-1.8,0.00
2022-02-21,6.9,-6.0,-0.4,0.00
2022-02-22,4.2,-4.8,-0.4,0.00
2022-02-23,3.2,-5.5,-1.5,0.00
2022-02-24,7.0,-6.1,-0.5,0.00
2022-02-25,10.7,-4.1,2.5,0.00
2022-02-26,11.1,-3.2,4.5,0.00
2022-02-27,12.5,-1.3,5.6,0.00
2022-02-28,13.3,-1.4,6.3,0.00
2022-03-01,16.9,6.4,10.1,4.20
2022-03-02,12.0,-1.5,5.4,0.00
2022-03-03,13.2,-2.0,5.5,0.00
2022-03-04,13.6,-0.2,7.1,0.00
2022-03-05,10.5,2.2,6.8,0.00
2022-03-06,9.6,-3.7,2.8,0.00
2022-03-07,10.3,-0.5,5.0,0.00
2022-03-08,14.9,-2.3,6.7,0.00
2022-03-09,16.2,-0.2,8.0,0.00
2022-03-10,15.6,2.7,9.4,0.00
2022-03-11,17.4,5.7,12.1,0.10
2022-03-12,20.4,8.5,14.0,1.20
2022-03-13,15.7,11.9,14.3,12.90
2022-03-14,13.7,8.9,11.3,0.30
2022-03-15,15.8,2.8,9.5,0.00
2022-03-16,19.8,4.1,11.4,0.00
2022-03-17,10.8,8.0,9.6,3.50
2022-03-18,8.3,4.0,6.8,28.20
2022-03-19,8.8,3.4,5.0,5.30
2022-03-20,10.0,1.7,5.8,0.20
2022-03-21,12.2,1.7,7.2,0.30
2022-03-22,14.0,4.4,8.0,0.80
2022-03-23,11.8,3.7,7.2,0.20
2022-03-24,16.7,1.5,8.7,0.00
2022-03-25,16.2,6.7,12.4,0.90
2022-03-26,17.7,9.8,14.6,41.20
2022-03-27,17.6,6.0,11.7,0.00
2022-03-28,11.0,4.0,7.8,0.00
2022-03-29,15.5,3.1,9.3,0.00
2022-03-30,16.9,5.7,11.5,1.70
2022-03-31,14.1,7.5,11.0,2.00
2022-04-01,11.8,5.3,8.3,0.00
2022-04-02,13.4,2.1,8.2,0.10
2022-04-03,15.0,3.3,9.2,0.10
2022-04-04,17.2,3.5,10.4,0.00
2022-04-05,17.9,4.2,11.2,0.00
2022-04-06,20.1,5.7,12.6,0.00
2022-04-07,19.9,6.3,13.1,3.30
2022-04-08,17.0,5.6,12.2,0.00
2022-04-09,20.6,7.7,14.5,0.00
2022-04-10,21.6,10.1,15.9,0.00
2022-04-11,21.0,13.6,17.1,0.00
2022-04-12,23.4,14.3,18.2,0.10
2022-04-13,15.6,10.6,13.2,0.80
2022-04-14,13.3,9.8,11.0,2.20
2022-04-15,16.3,8.7,11.4,0.00
2022-04-16,16.7,5.7,11.1,0.00
2022-04-17,22.1,5.5,13.7,0.00
2022-04-18,23.4,9.8,15.8,0.00
