latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.309315,127.38281,60.0,32400,Asia/Seoul,GMT+9

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2022-01-01,1.3,-8.0,-4.0,0.00
2022-01-02,6.4,-5.0,-0.9,0.00
2022-01-03,3.7,-6.4,-2.0,0.00
2022-01-04,3.2,-5.0,-0.8,0.00
2022-01-05,5.2,-5.9,-0.8,0.00
2022-01-06,4.2,-5.0,-1.5,0.00
2022-01-07,4.6,-5.1,-1.5,0.00
2022-01-08,6.1,-3.3,-0.1,0.00
2022-01-09,6.1,-2.9,1.6,0.00
2022-01-10,6.1,-4.1,0.5,0.10
2022-01-11,-0.2,-6.3,-3.6,0.40
2022-01-12,-0.3,-8.6,-5.0,0.00
2022-01-13,-0.7,-6.6,-4.1,0.30
2022-01-14,1.1,-7.7,-4.2,0.00
2022-01-15,6.0,-4.4,-0.0,0.00
2022-01-16,2.2,-5.0,-0.3,0.30
2022-01-17,1.4,-7.2,-3.2,0.30
2022-01-18,0.4,-7.6,-4.8,0.00
2022-01-19,4.7,-6.6,-2.0,0.60
2022-01-20,2.0,-8.1,-4.4,0.00
2022-01-21,5.9,-7.2,-2.3,0.00
2022-01-22,7.0,-3.0,2.4,0.00
2022-01-23,9.1,-1.4,3.3,0.00
2022-01-24,9.5,-1.2,4.3,0.00
2022-01-25,5.1,1.7,3.2,1.40
2022-01-26,6.6,-2.3,1.4,0.00
2022-01-27,5.0,-4.5,-0.7,0.00
2022-01-28,3.4,-5.2,-2.0,0.00
2022-01-29,2.1,-5.6,-2.7,0.00
2022-01-30,3.0,-6.4,-2.8,0.00
2022-01-31,5.1,-6.2,-1.4,0.00
2022-02-01,2.9,-3.5,-0.4,0.90
2022-02-02,2.2,-5.1,-1.7,0.00
2022-02-03,2.7,-4.9,-2.2,0.00
2022-02-04,2.0,-5.4,-2.4,0.00
2022-02-05,-1.1,-7.1,-4.4,0.00
